2016-10-25 0:02:33 412553950 114.544563 30.669117 114.544562 30.66899 0.0  
2016-10-25 0:02:55 412553950 114.544563 30.669117 114.544563 30.669117 0.0  
2016-10-25 0:14:44 412553950 114.544595 30.668993 114.544595 30.668993 0.0  
2016-10-25 0:17:26 412553950 114.544568 30.669012 114.544595 30.668993 0.0  
2016-10-25 0:32:50 412553950 114.544597 30.669018 114.544597 30.669018 0.0  
2016-10-25 0:50:52 412553950 114.544602 30.668977 114.544602 30.668977 0.0  
2016-10-25 0:59:33 412553950 114.544612 30.66897 114.544617 30.66898 0.0  
2016-10-25 1:02:33 412553950 114.544612 30.66897 114.544612 30.66897 0.0  
2016-10-25 1:05:31 412553950 114.544583 30.669027 114.544612 30.66897 0.0  
2016-10-25 1:08:41 412553950 114.544623 30.668998 114.544583 30.669027 0.0  
2016-10-25 1:11:26 412553950 114.544593 30.66899 114.544623 30.668998 0.0  
2016-10-25 1:53:33 412553950 114.544555 30.668982 114.544553 30.66894 0.0  
2016-10-25 2:02:36 412553950 114.544592 30.668938 114.544592 30.668938 0.0  
2016-10-25 2:05:34 412553950 114.544582 30.668953 114.544592 30.668938 0.0  
2016-10-25 2:08:49 412553950 114.544582 30.668953 114.544582 30.668953 0.0  
2016-10-25 2:26:32 412553950 114.544575 30.668993 114.544562 30.668968 0.0  
2016-10-25 2:29:26 412553950 114.544467 30.668935 114.544575 30.668993 0.3 246.6 
2016-10-25 2:32:41 412553950 114.543398 30.669075 114.544467 30.668935 4.2 305.8 
2016-10-25 2:33:24 412553950 114.542312 30.669682 114.543398 30.669075 5.4 302.0 
2016-10-25 2:34:04 412553950 114.54128 30.67023 114.542312 30.669682 5.7 300.7 
2016-10-25 2:34:29 412553950 114.540505 30.670655 114.54128 30.67023 5.7 303.8 
2016-10-25 2:34:52 412553950 114.54002 30.670945 114.540505 30.670655 5.7 305.5 
2016-10-25 2:35:13 412553950 114.539768 30.6711 114.54002 30.670945 5.7 306.5 
2016-10-25 2:35:47 412553950 114.53877 30.671767 114.539768 30.6711 5.8 307.8 
2016-10-25 2:36:11 412553950 114.538042 30.67225 114.53877 30.671767 5.8 307.1 
2016-10-25 2:36:32 412553950 114.537765 30.67243 114.538042 30.67225 5.9 307.3 
2016-10-25 2:36:54 412553950 114.537037 30.672928 114.537765 30.67243 5.4 307.2 
2016-10-25 2:37:29 412553950 114.536365 30.673392 114.537037 30.672928 5.1 309.6 
2016-10-25 2:37:52 412553950 114.535728 30.673855 114.536365 30.673392 5.0 309.6 
2016-10-25 2:38:10 412553950 114.535305 30.674152 114.535728 30.673855 5.0 309.7 
2016-10-25 2:38:30 412553950 114.535095 30.6743 114.535305 30.674152 4.9 310.3 
2016-10-25 2:39:08 412553950 114.534508 30.674715 114.535095 30.6743 4.4 310.9 
2016-10-25 2:39:38 412553950 114.533663 30.675365 114.534508 30.674715 3.9 317.9 
2016-10-25 2:40:01 412553950 114.533372 30.675642 114.533663 30.675365 3.8 312.1 
2016-10-25 2:40:20 412553950 114.533235 30.675745 114.533372 30.675642 3.8 310.5 
2016-10-25 2:40:51 412553950 114.532587 30.67617 114.533235 30.675745 3.7 306.5 
2016-10-25 2:41:17 412553950 114.532252 30.676373 114.532587 30.67617 3.7 302.8 
2016-10-25 2:41:39 412553950 114.531755 30.676638 114.532252 30.676373 3.7 301.0 
2016-10-25 2:42:01 412553950 114.531388 30.676825 114.531755 30.676638 3.7 298.8 
2016-10-25 2:42:26 412553950 114.53104 30.677007 114.531388 30.676825 3.7 299.9 
2016-10-25 2:42:52 412553950 114.530698 30.677175 114.53104 30.677007 3.8 299.9 
2016-10-25 2:43:16 412553950 114.530347 30.677357 114.530698 30.677175 3.8 300.4 
2016-10-25 2:43:36 412553950 114.52968 30.677695 114.530347 30.677357 3.6 300.2 
2016-10-25 2:44:08 412553950 114.529303 30.67788 114.52968 30.677695 3.3 299.8 
2016-10-25 2:44:34 412553950 114.528872 30.678072 114.529303 30.67788 2.8 298.2 
2016-10-25 2:44:56 412553950 114.528595 30.67819 114.528872 30.678072 2.6 296.2 
2016-10-25 2:45:45 412553950 114.528008 30.678418 114.528595 30.67819 2.3 294.0 
2016-10-25 2:46:14 412553950 114.527658 30.678567 114.528008 30.678418 2.2 291.5 
2016-10-25 2:46:35 412553950 114.527463 30.678623 114.527658 30.678567 2.0 291.8 
2016-10-25 2:46:58 412553950 114.527187 30.678732 114.527463 30.678623 1.7 292.8 
2016-10-25 2:47:31 412553950 114.526903 30.678802 114.527187 30.678732 1.8 293.1 
2016-10-25 2:47:58 412553950 114.526625 30.67891 114.526903 30.678802 1.8 293.3 
2016-10-25 2:48:19 412553950 114.526477 30.678952 114.526625 30.67891 1.9 294.3 
2016-10-25 2:51:21 412553950 114.525272 30.67958 114.526477 30.678952 0.8 305.3 
2016-10-25 3:00:32 412553950 114.525822 30.679275 114.52558 30.67908 0.2 7.4 
2016-10-25 3:03:36 412553950 114.525793 30.679312 114.525822 30.679275 0.1 225.0 
2016-10-25 3:06:20 412553950 114.52573 30.679212 114.525793 30.679312 0.0 274.3 
2016-10-25 3:08:23 412553950 114.52573 30.679212 114.52573 30.679212 0.0 274.3 
2016-10-25 3:09:34 412553950 114.525805 30.67922 114.52573 30.679212 0.0 127.9 
2016-10-25 3:12:22 412553950 114.525788 30.6792 114.525805 30.67922 0.0 188.9 
2016-10-25 3:14:53 412553950 114.525788 30.6792 114.525788 30.6792 0.0 188.9 
2016-10-25 3:15:21 412553950 114.525757 30.679242 114.525788 30.6792 0.0  
2016-10-25 3:32:41 412553950 114.525783 30.679288 114.525783 30.679288 0.0 296.0 
2016-10-25 3:33:27 412553950 114.525818 30.679243 114.525783 30.679288 0.0 167.7 
2016-10-25 3:42:30 412553950 114.525767 30.679242 114.52572 30.679253 0.0  
2016-10-25 3:45:36 412553950 114.525783 30.679202 114.525767 30.679242 0.0  
2016-10-25 3:48:33 412553950 114.525737 30.679255 114.525783 30.679202 0.1 296.0 
2016-10-25 3:50:34 412553950 114.525737 30.679255 114.525737 30.679255 0.1 296.0 
2016-10-25 3:51:42 412553950 114.525778 30.679172 114.525737 30.679255 0.0 122.2 
2016-10-25 3:56:11 412553950 114.525778 30.679172 114.525778 30.679172 0.0 122.2 
2016-10-25 4:00:28 412553950 114.525813 30.679213 114.525778 30.679172 0.0 24.2 
2016-10-25 4:02:26 412553950 114.525813 30.679213 114.525813 30.679213 0.0 24.2 
2016-10-25 4:03:34 412553950 114.525797 30.679178 114.525813 30.679213 0.1 208.6 
2016-10-25 4:06:17 412553950 114.52578 30.679202 114.525797 30.679178 0.0 54.0 
2016-10-25 4:09:11 412553950 114.525772 30.679205 114.52578 30.679202 0.1 345.8 
2016-10-25 4:12:22 412553950 114.525785 30.679178 114.525772 30.679205 0.1 189.4 
2016-10-25 4:14:33 412553950 114.525785 30.679178 114.525785 30.679178 0.1 189.4 
2016-10-25 4:15:24 412553950 114.52576 30.67912 114.525785 30.679178 0.0 127.5 
