2016-10-17 7:09:32 413858056 114.527417 30.67745 114.527417 30.67745 0.0 175.8 
2016-10-17 7:10:01 413858056 114.5274 30.677417 114.527417 30.67745 0.0 184.9 184.0
2016-10-17 7:10:28 413858056 114.5274 30.677417 114.5274 30.677417 0.0 185.5 185.0
2016-10-17 7:12:25 413858056 114.527383 30.677417 114.5274 30.677417 0.0 184.4 184.0
2016-10-17 7:13:24 413858056 114.527367 30.6774 114.527383 30.677417 0.0 182.8 182.0
2016-10-17 7:14:40 413858056 114.527383 30.677417 114.527367 30.6774 0.0 178.1 178.0
2016-10-17 7:15:15 413858056 114.527383 30.677417 114.527383 30.677417 0.0 180.6 180.0
2016-10-17 7:16:33 413858056 114.527367 30.6774 114.527383 30.677417 0.0 179.9 179.0
2016-10-17 7:17:02 413858056 114.527367 30.6774 114.527367 30.6774 0.0 168.7 168.0
2016-10-17 7:17:54 413858056 114.527367 30.6774 114.527367 30.6774 0.0 167.2 167.0
2016-10-17 7:18:53 413858056 114.527367 30.6774 114.527367 30.6774 0.0 195.0 195.0
2016-10-17 7:19:42 413858056 114.527367 30.677417 114.527367 30.6774 0.0 174.7 174.0
2016-10-17 7:21:08 413858056 114.52735 30.677417 114.527367 30.677417 0.0 202.4 202.0
2016-10-17 7:22:35 413858056 114.527367 30.677417 114.52735 30.677417 0.0 170.7 170.0
2016-10-17 7:23:43 413858056 114.527383 30.677417 114.527367 30.677417 0.0 186.7 186.0
2016-10-17 7:24:18 413858056 114.527367 30.677417 114.527383 30.677417 0.0 185.9 185.0
2016-10-17 7:25:30 413858056 114.527383 30.677417 114.527367 30.677417 0.0 175.0 175.0
2016-10-17 7:26:23 413858056 114.527367 30.677417 114.527383 30.677417 0.0 180.1 180.0
2016-10-17 7:26:46 413858056 114.527367 30.677417 114.527367 30.677417 0.0 212.8 212.0
2016-10-17 7:27:35 413858056 114.527367 30.677417 114.527367 30.677417 0.0 173.5 173.0
2016-10-17 7:28:00 413858056 114.527367 30.677417 114.527367 30.677417 0.0 182.6 182.0
2016-10-17 7:28:51 413858056 114.527367 30.677417 114.527367 30.677417 0.0 166.2 166.0
2016-10-17 7:29:49 413858056 114.527367 30.677417 114.527367 30.677417 0.0 202.5 202.0
2016-10-17 7:30:37 413858056 114.527367 30.677417 114.527367 30.677417 0.0 178.0 178.0
2016-10-17 7:32:07 413858056 114.527383 30.677417 114.527367 30.677417 0.0 166.2 166.0
2016-10-17 7:33:08 413858056 114.527383 30.677417 114.527383 30.677417 0.0 152.3 152.0
2016-10-17 7:34:25 413858056 114.527383 30.677417 114.527383 30.677417 0.0 150.8 150.0
2016-10-17 7:34:52 413858056 114.527383 30.677417 114.527383 30.677417 0.0 138.4 138.0
2016-10-17 7:35:16 413858056 114.5274 30.677417 114.527383 30.677417 0.0 157.2 157.0
2016-10-17 7:35:40 413858056 114.527383 30.677417 114.5274 30.677417 0.0 172.1 172.0
2016-10-17 7:36:41 413858056 114.527383 30.677417 114.527383 30.677417 0.0 159.6 159.0
2016-10-17 7:37:08 413858056 114.527383 30.677417 114.527383 30.677417 0.0 156.1 156.0
2016-10-17 7:37:32 413858056 114.527383 30.677417 114.527383 30.677417 0.0 145.8 145.0
2016-10-17 7:38:47 413858056 114.5274 30.677417 114.527383 30.677417 0.0 167.8 167.0
2016-10-17 7:39:37 413858056 114.527383 30.677417 114.5274 30.677417 0.0 186.1 186.0
2016-10-17 7:40:10 413858056 114.527383 30.677417 114.527383 30.677417 0.0 154.8 154.0
2016-10-17 7:41:01 413858056 114.527383 30.677417 114.527383 30.677417 0.0 168.7 168.0
2016-10-17 7:42:03 413858056 114.5274 30.677417 114.527383 30.677417 0.0 166.1 166.0
2016-10-17 7:42:59 413858056 114.527383 30.6774 114.5274 30.677417 0.0 189.0 189.0
2016-10-17 7:43:57 413858056 114.527383 30.6774 114.527383 30.6774 0.0 169.3 169.0
2016-10-17 7:44:49 413858056 114.527383 30.6774 114.527383 30.6774 0.0 170.5 170.0
2016-10-17 7:45:13 413858056 114.5274 30.6774 114.527383 30.6774 0.0 163.0 163.0
2016-10-17 7:46:11 413858056 114.5274 30.6774 114.5274 30.6774 0.0 171.0 171.0
2016-10-17 7:47:42 413858056 114.527383 30.677417 114.5274 30.6774 0.0 167.9 167.0
2016-10-17 7:48:07 413858056 114.527383 30.677417 114.527383 30.677417 0.0 156.6 156.0
2016-10-17 7:48:34 413858056 114.527383 30.677417 114.527383 30.677417 0.0 167.8 167.0
2016-10-17 7:50:00 413858056 114.527383 30.677417 114.527383 30.677417 0.0 171.2 171.0
2016-10-17 7:51:57 413858056 114.527383 30.677417 114.527383 30.677417 0.0 154.6 154.0
2016-10-17 7:52:52 413858056 114.527383 30.677417 114.527383 30.677417 0.0 148.0 148.0
2016-10-17 7:53:25 413858056 114.527383 30.677417 114.527383 30.677417 0.0 153.8 153.0
2016-10-17 7:54:16 413858056 114.527383 30.677417 114.527383 30.677417 0.0 166.6 166.0
2016-10-17 7:54:40 413858056 114.5274 30.677417 114.527383 30.677417 0.0 138.9 138.0
2016-10-17 7:55:14 413858056 114.5274 30.677417 114.5274 30.677417 0.0 147.6 147.0
2016-10-17 7:56:33 413858056 114.5274 30.677417 114.5274 30.677417 0.0 136.8 136.0
2016-10-17 7:57:05 413858056 114.5274 30.677417 114.5274 30.677417 0.0 143.5 143.0
2016-10-17 7:57:53 413858056 114.5274 30.677417 114.5274 30.677417 0.0 173.9 173.0
2016-10-17 7:58:48 413858056 114.527383 30.677417 114.5274 30.677417 0.0 150.1 150.0
2016-10-17 7:59:38 413858056 114.527383 30.677417 114.527383 30.677417 0.0 157.6 157.0
2016-10-17 8:00:40 413858056 114.5274 30.677417 114.527383 30.677417 0.0 153.9 153.0
2016-10-17 8:01:56 413858056 114.5274 30.677417 114.5274 30.677417 0.0 160.7 160.0
2016-10-17 8:02:55 413858056 114.527383 30.677417 114.5274 30.677417 0.0 162.7 162.0
2016-10-17 8:03:51 413858056 114.527383 30.677417 114.527383 30.677417 0.0 160.5 160.0
2016-10-17 8:05:18 413858056 114.5274 30.677417 114.527383 30.677417 0.0 150.5 150.0
2016-10-17 8:06:11 413858056 114.527383 30.677417 114.5274 30.677417 0.0 166.5 166.0
2016-10-17 8:07:31 413858056 114.527383 30.677417 114.527383 30.677417 0.0 146.6 146.0
2016-10-17 8:09:35 413858056 114.527383 30.677417 114.527383 30.677417 0.0 163.1 163.0
2016-10-17 8:10:32 413858056 114.527383 30.677417 114.527383 30.677417 0.0 117.9 117.0
2016-10-17 8:12:01 413858056 114.527383 30.677417 114.527383 30.677417 0.0 103.4 103.0
2016-10-17 8:12:31 413858056 114.527383 30.677417 114.527383 30.677417 0.0 117.1 117.0
2016-10-17 8:13:58 413858056 114.527383 30.677417 114.527383 30.677417 0.0 117.5 117.0
2016-10-17 8:14:47 413858056 114.527383 30.677417 114.527383 30.677417 0.0 142.7 142.0
2016-10-17 8:15:39 413858056 114.527383 30.677433 114.527383 30.677417 0.0 127.4 127.0
2016-10-17 8:16:04 413858056 114.527383 30.677433 114.527383 30.677433 0.0 143.7 143.0
2016-10-17 8:16:54 413858056 114.527383 30.677417 114.527383 30.677433 0.0 127.6 127.0
2016-10-17 8:18:27 413858056 114.5274 30.677433 114.527383 30.677417 0.0 143.8 143.0
2016-10-17 8:19:28 413858056 114.527383 30.677433 114.5274 30.677433 0.0 134.6 134.0
2016-10-17 8:20:45 413858056 114.5274 30.677417 114.527383 30.677433 0.0 142.1 142.0
2016-10-17 8:21:17 413858056 114.527383 30.677417 114.5274 30.677417 0.0 141.3 141.0
2016-10-17 8:22:59 413858056 114.5274 30.677417 114.527383 30.677417 0.0 147.4 147.0
2016-10-17 8:23:50 413858056 114.5274 30.677417 114.5274 30.677417 0.0 152.6 152.0
2016-10-17 8:24:55 413858056 114.5274 30.677417 114.5274 30.677417 0.0 126.7 126.0
2016-10-17 8:25:39 413858056 114.5274 30.677417 114.5274 30.677417 0.0 139.9 139.0
2016-10-17 8:27:04 413858056 114.5274 30.677417 114.5274 30.677417 0.0 137.0 137.0
2016-10-17 8:27:28 413858056 114.5274 30.677417 114.5274 30.677417 0.0 137.0 137.0
2016-10-17 8:28:27 413858056 114.527383 30.677417 114.5274 30.677417 0.0 126.3 126.0
2016-10-17 8:29:19 413858056 114.5274 30.677417 114.527383 30.677417 0.0 118.7 118.0
2016-10-17 8:30:21 413858056 114.5274 30.677417 114.5274 30.677417 0.0 151.5 151.0
2016-10-17 8:31:50 413858056 114.5274 30.677417 114.5274 30.677417 0.0 110.7 110.0
2016-10-17 8:32:27 413858056 114.5274 30.677417 114.5274 30.677417 0.0 141.3 141.0
2016-10-17 8:32:56 413858056 114.527383 30.677417 114.5274 30.677417 0.0 141.7 141.0
2016-10-17 8:33:52 413858056 114.527383 30.677417 114.527383 30.677417 0.0 126.9 126.0
2016-10-17 8:34:29 413858056 114.527417 30.677433 114.527383 30.677417 0.0 141.8 141.0
2016-10-17 8:37:01 413858056 114.527417 30.677417 114.527417 30.677433 0.0 126.1 126.0
2016-10-17 8:38:49 413858056 114.527417 30.677433 114.527417 30.677417 0.0 124.7 124.0
2016-10-17 8:39:32 413858056 114.527417 30.677417 114.527417 30.677433 0.0 128.6 128.0
2016-10-17 8:56:28 413858056 114.5274 30.677417 114.527417 30.677417 0.0 129.1 129.0
2016-10-17 8:57:08 413858056 114.5274 30.677417 114.5274 30.677417 0.0 118.8 118.0
2016-10-17 8:58:03 413858056 114.5274 30.677417 114.5274 30.677417 0.0 135.0 135.0
2016-10-17 8:58:48 413858056 114.5274 30.677417 114.5274 30.677417 0.0 121.7 121.0
2016-10-17 8:59:40 413858056 114.5274 30.677417 114.5274 30.677417 0.0 122.5 122.0
2016-10-17 9:00:36 413858056 114.5274 30.677417 114.5274 30.677417 0.0 114.0 114.0
2016-10-17 9:13:42 413858056 114.527417 30.677417 114.5274 30.677417 0.0 123.4 123.0
2016-10-17 9:14:17 413858056 114.527417 30.677417 114.527417 30.677417 0.0 127.9 127.0
2016-10-17 9:15:47 413858056 114.527417 30.677417 114.527417 30.677417 0.0 126.9 126.0
2016-10-17 9:16:35 413858056 114.527417 30.677417 114.527417 30.677417 0.0 118.4 118.0
2016-10-17 9:17:18 413858056 114.527417 30.677417 114.527417 30.677417 0.0 122.8 122.0
2016-10-17 9:18:27 413858056 114.527417 30.677417 114.527417 30.677417 0.0 124.6 124.0
2016-10-17 9:18:54 413858056 114.527417 30.677417 114.527417 30.677417 0.0 126.7 126.0
2016-10-17 9:20:16 413858056 114.527417 30.677417 114.527417 30.677417 0.0 129.4 129.0
2016-10-17 9:20:39 413858056 114.527417 30.677417 114.527417 30.677417 0.0 129.6 129.0
2016-10-17 9:22:19 413858056 114.527417 30.677417 114.527417 30.677417 0.0 121.7 121.0
2016-10-17 9:23:05 413858056 114.527417 30.677417 114.527417 30.677417 0.0 130.0 130.0
