2016-10-21 20:42:21 413829178 114.29035 30.572132 114.29035 30.572132 0.0 225.0 
2016-10-21 20:42:35 413829178 114.29035 30.572132 114.29035 30.572132 0.0 225.0 
2016-10-21 20:42:57 413829178 114.290333 30.572117 114.29035 30.572132 0.0 225.0 214.0
2016-10-21 20:43:16 413829178 114.290352 30.572122 114.290333 30.572117 0.1 0.0 215.0
2016-10-21 20:43:49 413829178 114.290333 30.572117 114.290352 30.572122 0.1 202.9 215.0
2016-10-21 20:44:15 413829178 114.290333 30.572083 114.290333 30.572117 0.2 154.7 202.0
2016-10-21 20:44:37 413829178 114.29035 30.571917 114.290333 30.572083 4.5 182.7 178.0
2016-10-21 20:44:55 413829178 114.290383 30.5712 114.29035 30.571917 7.5 173.7 162.0
2016-10-21 20:45:13 413829178 114.290683 30.570533 114.290383 30.5712 8.1 152.2 126.0
2016-10-21 20:45:40 413829178 114.291767 30.570133 114.290683 30.570533 9.0 95.2 82.0
2016-10-21 20:45:59 413829178 114.292817 30.5704 114.291767 30.570133 12.0 59.8 56.0
2016-10-21 20:46:19 413829178 114.293817 30.571067 114.292817 30.5704 13.2 52.2 46.0
2016-10-21 20:46:36 413829178 114.294833 30.572 114.293817 30.571067 13.6 42.5 44.0
2016-10-21 20:46:55 413829178 114.295717 30.572833 114.294833 30.572 13.6 42.2 42.0
2016-10-21 20:47:32 413829178 114.2971 30.574215 114.295717 30.572833 13.0 39.2 36.0
2016-10-21 20:47:49 413829178 114.297933 30.575267 114.2971 30.574215 13.1 34.8 35.0
2016-10-21 20:48:13 413829178 114.298733 30.576267 114.297933 30.575267 13.2 34.4 35.0
2016-10-21 20:48:30 413829178 114.29955 30.577283 114.298733 30.576267 13.2 35.3 35.0
2016-10-21 20:48:42 413829178 114.299983 30.5778 114.29955 30.577283 13.7 35.2 33.0
2016-10-21 20:49:18 413829178 114.30185 30.580233 114.299983 30.5778 16.0 33.2 33.0
2016-10-21 20:49:37 413829178 114.3028 30.581483 114.30185 30.580233 16.1 33.5 33.0
2016-10-21 20:49:52 413829178 114.303583 30.582467 114.3028 30.581483 16.0 34.7 34.0
2016-10-21 20:50:10 413829178 114.304483 30.583633 114.303583 30.582467 15.9 32.9 33.0
2016-10-21 20:50:39 413829178 114.305517 30.585 114.304483 30.583633 16.0 33.1 32.0
2016-10-21 20:51:02 413829178 114.306633 30.586483 114.305517 30.585 16.0 33.1 33.0
2016-10-21 20:51:19 413829178 114.307583 30.587717 114.306633 30.586483 16.0 33.8 34.0
2016-10-21 20:51:35 413829178 114.30835 30.588717 114.307583 30.587717 16.0 33.8 34.0
2016-10-21 20:51:54 413829178 114.309217 30.589817 114.30835 30.588717 16.1 34.1 34.0
2016-10-21 20:52:11 413829178 114.310067 30.590933 114.309217 30.589817 16.1 33.5 34.0
2016-10-21 20:52:26 413829178 114.310633 30.591683 114.310067 30.590933 16.1 32.0 32.0
2016-10-21 20:52:44 413829178 114.3115 30.5929 114.310633 30.591683 16.2 31.5 31.0
2016-10-21 20:53:06 413829178 114.312567 30.59445 114.3115 30.5929 16.1 31.1 31.0
2016-10-21 20:53:25 413829178 114.313383 30.5956 114.312567 30.59445 16.0 31.9 32.0
2016-10-21 20:53:43 413829178 114.3142 30.596733 114.313383 30.5956 16.1 31.1 32.0
2016-10-21 20:54:02 413829178 114.315017 30.597883 114.3142 30.596733 16.1 32.8 33.0
2016-10-21 20:54:26 413829178 114.316067 30.59925 114.315017 30.597883 16.0 33.8 35.0
